building_id,issue_id,area,issue_type,severity,status,reported_date,estimated_cost
B001,R001,Lobby,Painting,Low,Closed,2025-02-15,120000
B001,R002,A-Wing Staircase,Cracks,Medium,Open,2025-09-01,80000
B002,R003,Terrace,Waterproofing,High,Open,2025-05-10,400000
B002,R004,Basement,Plumbing,Medium,Closed,2025-02-20,200000
B002,R005,C-Wing Elevator,Jamming,Medium,Open,2025-10-15,75000
B003,R006,Gym,Treadmill,Low,Closed,2025-02-08,100000
B003,R007,Swimming Pool,Filter,Medium,Open,2025-10-01,250000
B004,R008,B-Wing Elevator,Service,Low,Closed,2025-02-18,50000
B004,R009,Parking Lot,Lighting,Low,Open,2025-10-20,30000
B006,R010,Terrace,Waterproofing,High,Closed,2025-02-15,300000
B006,R011,Building Exterior,Plaster Fall,High,Open,2025-06-30,700000
B008,R012,Pillar 4B,Structural Crack,High,Closed,2025-02-20,500000
B008,R013,Common Passage,Lighting,Low,Open,2025-09-15,20000
B008,R014,Water Tank,Leakage,High,Open,2025-10-01,250000
B008,R015,Staircase Railing,Broken,Medium,Open,2025-10-10,40000
