building_id,date,transaction_type,category,amount,notes
B001,2025-01-15,Expense,Security Salaries,150000,Jan salary
B001,2025-01-20,Expense,Utilities,80000,Electricity bill
B001,2025-02-01,Income,Maintenance,580000,Feb collection
B001,2025-02-15,Expense,Security Salaries,150000,Feb salary
B001,2025-02-20,Expense,Repairs,120000,Lobby painting
B001,2025-02-25,Expense,Utilities,85000,Water bill
B002,2025-01-15,Expense,Security Salaries,100000,Jan salary
B002,2025-01-20,Expense,Utilities,60000,Electricity bill
B002,2025-02-01,Income,Maintenance,380000,Feb collection
B002,2025-02-15,Expense,Security Salaries,100000,Feb salary
B002,2025-02-28,Expense,Repairs,200000,Plumbing work
B003,2025-01-15,Expense,Security Salaries,250000,Jan salary
B003,2025-01-20,Expense,Utilities,150000,Common area power
B003,2025-02-01,Income,Maintenance,950000,Feb collection
B003,2025-02-10,Expense,Amenities,100000,Gym maintenance
B003,2025-02-15,Expense,Security Salaries,250000,Feb salary
B004,2025-01-15,Expense,Security Salaries,180000,Jan salary
B004,2025-01-20,Expense,Utilities,90000,Water bill
B004,2025-02-01,Income,Maintenance,700000,Feb collection
B004,2025-02-18,Expense,Repairs,50000,Elevator service
B005,2025-01-15,Expense,Security Salaries,80000,Jan salary
B005,2025-02-01,Income,Maintenance,290000,Feb collection
B005,2025-02-10,Expense,Amenities,30000,Garden upkeep
B006,2025-01-15,Expense,Security Salaries,90000,Jan salary
B006,2025-02-01,Income,Maintenance,320000,Feb collection
B006,2025-02-20,Expense,Repairs,300000,Terrace waterproofing
B007,2025-01-15,Expense,Security Salaries,120000,Jan salary
B007,2025-02-01,Income,Maintenance,480000,Feb collection
B008,2025-01-15,Expense,Security Salaries,70000,Jan salary
B008,2025-02-01,Income,Maintenance,240000,Feb collection
B008,2025-02-25,Expense,Repairs,500000,Urgent pillar repair
